Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70393,524730,179090,-0.204546,51.496945,1,2,1,1,20/06/2014,6,15:50,12,E09000020,3,3220,2,30,6,2,4,314,0,5,1,1,1,0,0,1,1,E01002814
201401BS70394,526260,176960,-0.183278,51.477463,1,3,2,1,20/06/2014,6,12:00,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002841
201401BS70395,524080,181890,-0.212921,51.522253,1,3,2,1,20/06/2014,6,09:00,12,E09000020,4,450,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002905
201401BS70396,527140,178030,-0.170228,51.486883,1,3,1,1,21/06/2014,7,01:30,12,E09000020,3,3217,6,30,3,2,4,304,0,5,4,1,1,0,0,1,1,E01002914
201401BS70398,524480,181510,-0.207292,51.51875,1,3,2,2,20/06/2014,6,08:35,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002856
201401BS70400,523480,181140,-0.221827,51.515644,1,3,2,1,18/06/2014,4,06:52,11,E09000013,3,40,1,30,1,2,3,3220,0,0,1,1,2,0,0,1,1,E01002877
201401BS70403,525470,179520,-0.193739,51.500646,1,3,3,1,12/06/2014,5,15:30,12,E09000020,3,315,3,30,3,4,5,0,0,4,1,1,1,0,0,1,2,E01002816
201401BS70404,527160,178260,-0.169858,51.488945,1,3,2,1,20/06/2014,6,14:15,12,E09000020,4,304,6,30,8,4,6,0,0,0,1,1,1,0,0,1,2,E01002914
201401BS70405,524950,179240,-0.201326,51.498245,1,3,2,1,23/06/2014,2,08:30,12,E09000020,3,315,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002817
201401BS70407,527090,178000,-0.170959,51.486624,1,3,2,1,24/06/2014,3,11:40,12,E09000020,6,0,6,30,6,4,3,3217,0,0,1,1,1,0,0,1,1,E01002910
