Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
201401BS70521,524250,181450,-0.210627,51.518261,1,3,2,1,13/08/2014,4,23:47,12,E09000020,4,450,6,30,6,4,4,412,0,1,4,1,1,0,0,1,1,E01002878
201401BS70523,523770,180910,-0.217731,51.513513,1,2,1,2,13/08/2014,4,17:52,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002880
201401BS70524,524500,180900,-0.20722,51.513263,1,3,2,1,12/08/2014,3,12:00,12,E09000020,4,450,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002874
201401BS70525,524550,181370,-0.206334,51.517476,1,3,2,1,14/08/2014,5,09:34,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002831
201401BS70526,524860,179380,-0.202572,51.499523,1,3,2,1,14/08/2014,5,18:35,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01002864
201401BS70527,525830,178850,-0.188794,51.494545,1,3,1,1,14/08/2014,5,18:03,12,E09000020,3,4,6,30,3,2,5,0,0,5,1,1,2,0,0,1,1,E01002839
201401BS70528,526430,178490,-0.180284,51.491176,1,3,2,1,15/08/2014,6,11:58,12,E09000020,3,3218,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002835
201401BS70529,526560,178270,-0.178491,51.48917,1,3,2,1,15/08/2014,6,14:55,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002837
201401BS70531,524250,181450,-0.210627,51.518261,1,3,2,1,17/08/2014,1,21:40,12,E09000020,4,450,6,30,6,4,4,412,0,4,4,1,1,0,0,1,1,E01002878
201401BS70532,528000,178690,-0.15761,51.49262,1,3,2,1,18/08/2014,2,13:10,12,E09000020,3,3217,1,30,2,4,3,3216,0,1,1,1,1,0,0,1,2,E01002902
201401BS70533,527210,178810,-0.16894,51.493877,1,3,2,1,19/08/2014,3,16:03,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002821
201401BS70534,527140,178030,-0.170228,51.486883,1,3,2,1,19/08/2014,3,17:50,12,E09000020,3,3217,6,30,3,2,4,304,0,5,1,1,1,0,0,1,1,E01002914
201401BS70535,525030,178690,-0.200369,51.493284,1,3,1,1,18/08/2014,2,21:50,12,E09000020,3,4,6,30,6,2,3,3220,0,5,7,9,1,0,0,1,2,E01002814
201401BS70536,524050,179700,-0.214123,51.502577,1,3,2,1,20/08/2014,4,22:10,12,E09000020,3,3220,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002869
201401BS70537,526890,178580,-0.17363,51.491882,1,3,2,1,20/08/2014,4,17:28,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002822
201401BS70539,527200,179120,-0.168972,51.496665,1,3,2,1,21/08/2014,5,07:55,12,E09000020,3,4,6,30,3,2,3,4,0,5,1,1,1,0,0,1,1,E01002819
201401BS70540,526040,177550,-0.186234,51.482815,1,3,2,1,21/08/2014,5,11:40,12,E09000020,3,304,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002897
201401BS70541,527220,178070,-0.169062,51.487224,1,3,2,1,21/08/2014,5,09:40,12,E09000020,3,3217,6,30,3,2,4,304,0,5,1,1,1,0,0,1,1,E01002899
201401BS70542,523880,179960,-0.21648,51.504951,1,3,2,1,14/06/2014,7,14:45,11,E09000013,3,3220,1,30,1,2,3,402,0,5,1,1,1,0,0,1,2,E01002873
201401BS70543,523970,179790,-0.215244,51.503404,1,3,2,1,22/08/2014,6,15:58,12,E09000020,3,3220,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002869
201401BS70544,524170,181640,-0.211712,51.519986,1,3,2,1,22/08/2014,6,18:10,12,E09000020,4,450,6,30,6,4,5,0,0,1,1,1,1,0,0,1,1,E01002909
201401BS70545,527910,177760,-0.159242,51.484283,1,2,1,1,23/08/2014,7,12:20,12,E09000020,3,3212,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01002900
201401BS70546,526320,177830,-0.182104,51.485269,1,3,1,2,23/08/2014,7,18:06,12,E09000020,6,0,6,30,3,4,3,308,0,4,1,1,1,0,0,1,1,E01002912
201401BS70547,523460,182020,-0.221807,51.523557,1,3,1,1,24/08/2014,1,20:50,12,E09000020,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002904
201401BS70549,526650,177890,-0.177332,51.485734,1,3,2,1,25/08/2014,2,14:00,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,2,5,0,0,1,1,E01002911
201401BS70550,525520,178590,-0.193349,51.492277,1,3,2,1,27/08/2014,4,07:45,12,E09000020,3,3220,6,30,3,4,6,0,0,0,1,1,1,4,0,1,1,E01002850
201401BS70551,524830,181900,-0.202113,51.522177,1,3,1,1,25/08/2014,2,16:50,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,E01002854
201401BS70552,526880,179000,-0.173623,51.495658,1,3,2,1,26/08/2014,3,13:10,12,E09000020,3,4,6,30,6,2,5,0,0,5,1,2,2,0,0,1,1,E01002821
201401BS70553,526910,177510,-0.173726,51.482261,1,2,1,1,26/08/2014,3,12:50,12,E09000020,3,3220,6,30,0,-1,-1,0,0,5,1,1,2,0,0,1,1,E01002840
201401BS70558,526540,178050,-0.178858,51.487197,1,3,1,1,29/08/2014,6,17:50,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,1,1,1,0,0,1,1,E01002911
201401BS70559,524730,179110,-0.204539,51.497125,1,3,2,1,30/08/2014,7,02:15,12,E09000020,3,315,6,30,6,2,3,3220,0,5,4,8,2,0,0,1,1,E01002867
201401BS70560,524820,180310,-0.202819,51.50789,1,3,1,3,30/08/2014,7,13:07,12,E09000020,3,402,6,30,3,2,4,450,0,5,1,1,1,0,0,1,1,E01002883
201401BS70561,526130,179650,-0.184189,51.501668,1,3,2,1,31/08/2014,1,11:40,1,E09000033,3,315,6,30,3,2,4,325,0,5,1,1,1,0,0,1,1,E01002891
201401BS70562,525190,179360,-0.197827,51.49927,1,3,2,1,31/08/2014,1,13:35,12,E09000020,3,315,6,30,3,4,6,0,0,4,1,1,1,0,0,1,1,E01002817
201401BS70563,527510,178470,-0.164743,51.490754,1,3,2,1,31/08/2014,1,15:30,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002861
201401BS70564,528060,178710,-0.156739,51.492786,1,3,1,1,25/08/2014,2,14:45,12,E09000020,3,3217,6,30,9,4,3,3217,0,1,1,1,1,0,0,1,2,E01002902
201401BS70565,526450,177290,-0.180426,51.480387,1,3,2,1,17/07/2014,5,12:30,12,E09000020,3,3220,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002841
201401BS70566,523820,182060,-0.216607,51.523838,1,3,2,2,24/08/2014,1,06:30,12,E09000020,5,0,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01002906
201401BS70567,523960,180230,-0.215233,51.50736,1,3,1,1,08/08/2014,6,18:01,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002873
201401BS70569,525980,177170,-0.187233,51.479413,1,3,2,1,23/08/2014,7,19:30,11,E09000013,3,308,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01001920
201401BS70570,527910,177760,-0.159242,51.484283,1,3,2,2,06/08/2014,4,05:30,12,E09000020,3,3212,6,30,3,4,6,0,0,0,4,2,2,0,0,1,2,E01002900
201401BS70571,526330,179610,-0.181323,51.501264,1,3,2,2,02/09/2014,3,07:27,1,E09000033,3,315,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002891
201401BS70573,527760,178640,-0.161083,51.492225,1,3,1,1,03/09/2014,4,13:40,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002859
201401BS70574,523870,180530,-0.216424,51.510076,1,3,2,1,03/09/2014,4,17:57,12,E09000020,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002870
201401BS70576,524250,181430,-0.210634,51.518081,1,3,2,1,05/09/2014,6,13:20,12,E09000020,4,450,6,30,6,4,4,412,0,1,1,1,1,0,0,1,1,E01002878
201401BS70577,524960,180380,-0.200778,51.508488,1,3,2,1,05/09/2014,6,22:11,12,E09000020,3,402,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002883
201401BS70578,525250,178440,-0.19729,51.490989,1,3,1,1,06/09/2014,7,11:30,12,E09000020,6,0,6,30,3,4,3,3220,0,0,1,1,1,0,0,1,1,E01002847
201401BS70579,524700,181430,-0.204152,51.517982,1,3,1,1,06/09/2014,7,16:05,12,E09000020,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002830
201401BS70580,527210,178840,-0.168929,51.494146,1,3,1,1,06/09/2014,7,12:50,12,E09000020,3,308,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002821
201401BS70581,528090,178390,-0.156423,51.489904,1,3,1,1,05/09/2014,6,13:17,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002902
201401BS70582,526300,178760,-0.182059,51.493631,1,3,3,1,08/09/2014,2,08:50,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002835
201401BS70583,525480,180510,-0.193243,51.509541,1,3,2,1,09/09/2014,3,22:30,12,E09000020,3,402,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002827
201401BS70584,525370,178820,-0.195427,51.494377,1,3,2,1,09/09/2014,3,20:35,12,E09000020,3,4,3,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002851
201401BS70586,527250,179170,-0.168234,51.497103,1,3,2,1,31/08/2014,1,03:27,12,E09000020,3,4,6,30,3,4,6,0,0,4,4,1,1,0,0,1,2,E01002819
201401BS70587,527660,179140,-0.162342,51.496741,1,3,2,1,10/09/2014,4,17:55,12,E09000020,4,319,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002863
201401BS70588,524740,181360,-0.2036,51.517344,1,3,2,1,10/09/2014,4,18:35,12,E09000020,6,0,6,30,3,4,4,412,0,0,1,1,1,0,0,1,1,E01002830
201401BS70589,526020,178880,-0.186048,51.494772,1,3,3,2,10/09/2014,4,15:46,12,E09000020,3,4,3,30,3,2,6,0,0,5,1,1,1,0,0,1,1,E01002839
201401BS70591,525770,178370,-0.189829,51.490244,1,3,1,1,08/09/2014,2,10:15,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002898
201401BS70592,525270,179400,-0.196661,51.499612,1,3,1,1,11/09/2014,5,00:35,12,E09000020,3,315,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002817
201401BS70593,525380,180480,-0.194694,51.509294,1,3,2,1,04/09/2014,5,07:25,12,E09000020,3,402,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002827
201401BS70594,526530,178010,-0.179016,51.48684,1,3,2,1,05/05/2014,2,19:00,12,E09000020,5,0,6,30,6,2,3,308,0,5,1,1,1,0,0,1,2,E01002911
201401BS70596,526120,179650,-0.184333,51.50167,1,3,2,1,14/09/2014,1,14:53,1,E09000033,3,315,6,30,3,2,4,325,0,5,1,1,1,0,0,1,1,E01002891
201401BS70597,526180,178890,-0.18374,51.494826,1,3,2,1,12/09/2014,6,15:03,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002835
201401BS70598,526590,177270,-0.178418,51.480176,1,3,2,1,13/09/2014,7,09:45,12,E09000020,3,3220,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01002840
201401BS70599,528160,178430,-0.1554,51.490247,1,3,2,1,09/09/2014,3,08:58,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,9,1,0,0,1,2,E01002902
201401BS70600,523920,180390,-0.215753,51.508807,1,3,2,1,16/09/2014,3,06:10,12,E09000020,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01001944
201401BS70601,528060,178410,-0.156847,51.49009,1,2,1,1,18/09/2014,5,08:30,12,E09000020,3,3216,6,30,3,4,6,0,2,1,1,1,1,0,0,1,1,E01002902
201401BS70602,525420,180490,-0.194114,51.509375,1,3,1,1,09/09/2014,3,18:30,12,E09000020,3,402,6,30,3,2,3,4204,0,5,1,9,1,0,0,1,2,E01002827
201401BS70603,526170,178680,-0.183959,51.492941,1,3,2,1,07/09/2014,1,10:10,12,E09000020,6,0,3,30,2,4,6,0,0,0,1,1,1,0,0,1,2,E01002836
201401BS70604,526610,177570,-0.178023,51.482867,1,3,2,1,09/09/2014,3,08:00,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002911
201401BS70605,526340,177270,-0.182016,51.480232,1,3,2,1,17/09/2014,4,18:10,12,E09000020,3,3220,2,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002841
201401BS70606,526900,177540,-0.173859,51.482533,1,3,1,1,17/09/2014,4,12:40,12,E09000020,3,3220,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002845
201401BS70607,525160,180400,-0.197891,51.508624,1,3,1,1,17/09/2014,4,17:44,12,E09000020,3,402,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002828
201401BS70609,525420,178550,-0.194803,51.49194,1,3,1,1,15/09/2014,2,14:20,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,9,1,0,0,1,1,E01002851
201401BS70611,525660,178220,-0.191466,51.488921,1,2,2,1,18/09/2014,5,22:08,12,E09000020,3,3218,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002894
201401BS70612,525540,180480,-0.192389,51.509258,1,3,2,1,19/09/2014,6,13:15,12,E09000020,6,0,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002827
201401BS70613,525630,178480,-0.191805,51.491264,1,2,1,1,19/09/2014,6,15:40,12,E09000020,3,3220,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002849
201401BS70614,524350,181200,-0.209274,51.515992,1,3,4,4,19/09/2014,6,19:34,12,E09000020,4,450,3,30,6,4,4,412,0,0,4,1,1,0,0,1,1,E01002879
201401BS70615,523870,182480,-0.215739,51.527601,1,3,1,1,19/09/2014,6,21:15,1,E09000033,3,404,6,30,3,2,4,450,0,5,4,1,1,0,0,1,1,E01004720
201401BS70616,528000,178640,-0.157628,51.492171,1,3,2,1,18/09/2014,5,20:05,12,E09000020,3,3216,6,30,3,2,3,3217,0,5,4,9,1,0,0,1,1,E01002902
201401BS70617,524340,181230,-0.209408,51.516264,1,3,2,1,19/09/2014,6,22:30,12,E09000020,6,0,6,30,3,4,4,450,0,0,4,1,1,0,0,1,1,E01002879
201401BS70618,525960,177780,-0.187304,51.4849,1,3,1,1,20/09/2014,7,20:00,12,E09000020,6,0,6,30,6,4,3,3220,0,0,4,1,1,0,0,1,1,E01002893
201401BS70621,524470,181520,-0.207433,51.518842,1,3,2,1,20/09/2014,7,18:57,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002856
201401BS70623,524320,181760,-0.209509,51.521032,1,3,2,1,22/09/2014,2,17:55,12,E09000020,5,0,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002855
201401BS70628,523930,182270,-0.214948,51.525701,1,3,2,1,23/09/2014,3,16:30,12,E09000020,4,450,6,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01002852
201401BS70629,527150,178020,-0.170088,51.486791,1,3,2,1,23/09/2014,3,22:00,12,E09000020,3,3217,6,30,3,2,4,304,0,5,4,1,1,2,0,1,1,E01002844
201401BS70630,524250,181430,-0.210634,51.518081,1,3,2,1,24/09/2014,4,12:14,12,E09000020,4,450,6,30,6,4,4,412,0,1,1,1,1,0,0,1,1,E01002878
201401BS70631,523930,179920,-0.215774,51.504581,1,3,2,1,23/09/2014,3,21:45,11,E09000013,3,3220,1,30,1,4,3,402,0,0,4,1,1,0,0,1,1,E01002869
201401BS70632,528550,177860,-0.149993,51.485036,1,2,2,1,09/09/2014,3,08:45,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,2,E01002901
201401BS70633,527740,179660,-0.161002,51.501396,1,3,1,2,11/09/2014,5,17:25,1,E09000033,3,4,6,30,7,2,3,315,0,5,1,1,1,0,0,1,1,E01002818
201401BS70636,526880,178420,-0.173831,51.490446,1,3,1,1,24/09/2014,4,14:00,12,E09000020,6,0,6,30,3,4,3,308,0,0,1,1,1,0,0,1,1,E01002910
201401BS70637,527920,179440,-0.15849,51.499379,1,3,2,1,16/09/2014,3,18:00,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002818
201401BS70638,526620,178630,-0.177499,51.492392,1,3,2,2,28/09/2014,1,10:33,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002820
201401BS70639,523990,182090,-0.214147,51.52407,1,3,2,1,26/09/2014,6,13:09,12,E09000020,5,0,6,30,3,4,4,450,0,0,1,1,1,0,0,1,1,E01002905
201401BS70641,524330,179380,-0.210204,51.49964,1,3,2,1,28/09/2014,1,16:20,12,E09000020,3,3220,6,20,7,2,3,3220,0,5,1,1,1,0,0,1,1,E01002866
201401BS70645,527160,178240,-0.169865,51.488765,1,3,1,1,29/09/2014,2,12:27,12,E09000020,6,0,6,30,6,4,4,304,0,8,1,2,2,0,0,1,1,E01002914
201401BS70646,523410,181780,-0.222612,51.521411,1,2,2,1,27/09/2014,7,10:30,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002908
201401BS70647,525780,178850,-0.189514,51.494556,1,3,1,1,24/09/2014,4,13:43,12,E09000020,3,4,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002839
201401BS70648,524280,179440,-0.210903,51.50019,1,3,2,1,30/09/2014,3,00:02,12,E09000020,3,3220,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002866
201401BS70649,524130,180020,-0.212859,51.505436,1,3,1,1,19/09/2014,6,08:00,12,E09000020,3,402,6,30,3,4,5,0,0,0,1,1,1,0,0,1,2,E01002873
201401BS70650,528010,178230,-0.157632,51.488484,1,3,2,1,19/09/2014,6,16:25,12,E09000020,6,0,6,30,3,4,4,302,0,4,1,1,1,0,0,1,2,E01002901
201401BS70651,528550,177890,-0.149983,51.485306,1,3,2,1,26/09/2014,6,17:35,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01002901
201401BS70652,526170,178430,-0.184049,51.490695,1,3,2,1,01/10/2014,4,07:30,12,E09000020,3,3218,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01002898
201401BS70653,524760,180280,-0.203694,51.507634,1,3,1,1,01/10/2014,4,12:30,12,E09000020,3,402,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002828
201401BS70654,527350,178170,-0.167155,51.488094,1,3,2,1,02/10/2014,5,03:15,12,E09000020,3,3217,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002914
201401BS70655,525130,179320,-0.198706,51.498924,1,3,2,1,01/10/2014,4,07:45,12,E09000020,4,316,6,30,3,2,3,315,0,5,1,1,1,0,0,1,1,E01002817
201401BS70657,523940,179820,-0.215665,51.50368,1,3,2,1,02/10/2014,5,13:50,12,E09000020,3,3220,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002869
201401BS70658,527610,179120,-0.163069,51.496573,1,3,1,1,02/10/2014,5,08:35,12,E09000020,6,0,6,30,3,4,4,319,0,0,1,1,1,0,0,1,1,E01002818
201401BS70659,526920,177490,-0.173589,51.482079,1,3,1,1,03/10/2014,6,19:23,12,E09000020,3,3212,6,30,6,2,3,3220,0,5,4,1,1,0,0,1,1,E01002840
201401BS70660,526520,178030,-0.179153,51.487022,1,3,1,1,05/10/2014,1,12:30,12,E09000020,3,308,6,30,6,2,5,0,0,5,1,1,1,0,0,1,1,E01002838
201401BS70661,525530,178590,-0.193205,51.492275,1,3,1,1,04/10/2014,7,14:34,12,E09000020,3,3220,2,30,3,2,6,0,0,5,1,2,2,0,0,1,1,E01002850
201401BS70663,525510,178220,-0.193625,51.488954,1,3,2,1,04/10/2014,7,01:12,12,E09000020,3,3220,2,30,6,4,6,0,0,0,4,1,1,0,0,1,1,E01002846
201401BS70665,523380,181590,-0.22311,51.51971,1,3,2,1,03/10/2014,6,07:33,12,E09000020,4,412,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002876
201401BS70666,526220,177350,-0.183715,51.480977,1,3,1,1,04/10/2014,7,03:00,12,E09000020,3,308,6,30,0,-1,-1,0,0,5,4,1,1,0,0,1,1,E01002843
201401BS70667,523820,181160,-0.216923,51.515749,1,3,4,3,05/10/2014,1,14:19,12,E09000020,3,40,3,40,5,4,3,40,0,0,1,1,1,0,0,1,1,E01002880
201401BS70669,525220,180680,-0.196927,51.511127,1,3,1,1,15/09/2014,2,14:30,12,E09000020,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002884
201401BS70670,525240,179390,-0.197097,51.499529,1,3,1,1,06/10/2014,2,14:00,12,E09000020,3,315,3,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01002817
201401BS70671,527140,178030,-0.170228,51.486883,1,3,1,1,06/10/2014,2,13:10,12,E09000020,3,3217,6,30,3,2,4,304,0,5,1,1,1,0,0,1,1,E01002914
201401BS70672,523830,182510,-0.216305,51.52788,1,3,2,1,02/10/2014,5,09:00,1,E09000033,3,404,6,30,6,2,4,450,0,5,1,1,1,0,0,1,2,E01002852
201401BS70673,527390,177940,-0.166662,51.486018,1,3,1,1,29/09/2014,2,17:50,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002899
201401BS70676,525070,180390,-0.19919,51.508554,1,3,2,1,08/10/2014,4,02:25,12,E09000020,3,402,3,30,0,-1,-1,0,0,1,4,1,1,0,0,1,1,E01002828
201401BS70679,525570,179320,-0.19237,51.498827,1,3,2,1,09/10/2014,5,10:10,12,E09000020,5,0,6,30,3,4,5,0,0,0,1,1,1,0,0,1,1,E01002816
201401BS70680,524170,181640,-0.211712,51.519986,1,3,2,1,09/10/2014,5,09:20,12,E09000020,4,450,6,30,6,4,5,0,0,1,1,2,2,0,0,1,1,E01002909
201401BS70681,525000,178620,-0.200825,51.492662,1,3,2,1,23/09/2014,3,08:20,12,E09000020,3,3220,6,30,6,2,3,4,0,5,1,1,1,0,0,1,2,E01002814
201401BS70682,523540,181400,-0.220872,51.517967,1,3,2,1,11/10/2014,7,10:15,12,E09000020,6,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002876
201401BS70684,527620,177690,-0.163442,51.483719,1,3,2,1,10/10/2014,6,01:00,12,E09000020,3,3212,6,30,0,-1,-1,0,0,5,4,1,2,0,0,2,1,E01002900
201401BS70685,526870,178770,-0.173849,51.493594,1,3,2,6,09/10/2014,5,19:00,12,E09000020,4,304,6,30,3,4,5,0,0,0,4,2,2,0,0,1,1,E01002822
201401BS70686,525900,180590,-0.187165,51.510167,1,3,2,1,10/10/2014,6,09:00,1,E09000033,3,402,6,30,3,2,4,411,0,5,1,1,1,0,0,1,1,E01004688
201401BS70687,526140,178760,-0.184363,51.493667,1,3,2,1,10/10/2014,6,08:25,12,E09000020,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01002835
201401BS70688,526080,177250,-0.185765,51.48011,1,3,2,1,12/10/2014,1,03:12,12,E09000020,5,0,6,30,3,4,3,308,0,0,4,1,1,0,0,1,1,E01002843
201401BS70689,526170,179290,-0.183741,51.498424,1,3,2,1,12/10/2014,1,10:09,12,E09000020,4,325,6,30,6,4,6,0,0,1,1,1,1,0,0,1,1,E01002890
201401BS70690,524750,180390,-0.203799,51.508624,1,3,2,1,12/10/2014,1,18:45,12,E09000020,4,450,6,30,6,2,6,0,0,5,1,1,1,0,0,1,1,E01002871
201401BS70691,524110,179630,-0.213284,51.501935,1,3,1,2,12/10/2014,1,18:43,12,E09000020,3,3220,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01002866
201401BS70692,527290,178120,-0.168037,51.487658,1,3,2,1,03/10/2014,6,07:30,12,E09000020,3,3217,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002899
201401BS70693,528220,177840,-0.154751,51.484931,1,3,2,1,13/10/2014,2,17:25,12,E09000020,3,3212,6,30,3,4,6,0,0,0,1,2,2,0,0,2,1,E01002901
201401BS70694,526130,177640,-0.184907,51.483604,1,3,1,1,13/10/2014,2,21:20,12,E09000020,3,308,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002912
201401BS70695,527020,177520,-0.172139,51.482326,1,3,1,1,02/10/2014,5,07:38,12,E09000020,3,3212,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002840
201401BS70696,524480,179370,-0.208047,51.499517,1,2,2,1,06/10/2014,2,08:40,12,E09000020,3,3220,2,30,3,4,5,0,0,1,1,1,1,0,0,1,1,E01002864
201401BS70697,525860,178750,-0.188398,51.49364,1,3,2,1,15/10/2014,4,23:15,12,E09000020,5,0,1,30,2,4,6,0,0,0,4,2,2,0,0,1,1,E01002839
201401BS70698,528010,178610,-0.157495,51.491899,1,3,1,1,15/10/2014,4,11:20,12,E09000020,3,3216,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002902
201401BS70699,525010,180660,-0.199959,51.510994,1,3,3,2,14/10/2014,3,07:21,12,E09000020,4,415,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01002883
201401BS70700,526470,179130,-0.179479,51.496919,1,3,2,1,16/10/2014,5,08:00,12,E09000020,5,0,3,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002892
201401BS70701,526500,178940,-0.179115,51.495204,1,3,2,1,08/10/2014,4,13:05,12,E09000020,5,0,3,30,6,2,3,4,0,5,1,1,1,0,0,1,2,E01002835
201401BS70702,527710,179270,-0.161575,51.497898,1,3,2,1,06/10/2014,2,12:05,12,E09000020,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002818
201401BS70703,523910,181390,-0.215546,51.517796,1,3,2,1,16/10/2014,5,15:41,12,E09000020,4,412,1,30,1,4,6,0,0,0,1,1,1,0,0,1,1,E01002878
201401BS70704,527080,177550,-0.171265,51.482582,1,3,2,1,16/10/2014,5,19:00,12,E09000020,3,3212,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01002840
201401BS70706,526070,177260,-0.185906,51.480202,1,3,2,1,17/10/2014,6,12:14,12,E09000020,3,308,6,30,3,2,5,0,0,5,1,1,1,0,0,1,1,E01002913
201401BS70707,525410,179550,-0.194592,51.500929,1,3,2,1,17/10/2014,6,15:00,12,E09000020,5,0,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01002825
